Year,Month,Region,Pounds,Trips
1985,4,SUWANNEE AREA,3270,0
1985,5,APALACHICOLA BAY AREA,434935,0
1985,5,REST OF FL EAST,259,0
1985,5,REST OF FL WEST,14028,0
1985,5,SUWANNEE AREA,709,0
1985,6,APALACHICOLA BAY AREA,412454,0
1985,7,APALACHICOLA BAY AREA,426196,0
1985,7,REST OF FL WEST,6809,0
1985,8,APALACHICOLA BAY AREA,197916,0
1985,8,REST OF FL EAST,334,0
1985,8,REST OF FL WEST,15754,0
1985,9,APALACHICOLA BAY AREA,648,0
1985,9,REST OF FL EAST,580,0
1985,9,REST OF FL WEST,15906,0
1985,9,SUWANNEE AREA,45476,0
1985,10,REST OF FL EAST,1220,0
1985,10,REST OF FL WEST,28791,0
1985,10,SUWANNEE AREA,20034,0
1985,11,REST OF FL EAST,636,0
1985,11,REST OF FL WEST,34694,0
1985,11,SUWANNEE AREA,27639,0
1985,12,REST OF FL EAST,963,0
1985,12,REST OF FL WEST,75240,0
1985,12,SUWANNEE AREA,23321,0
1986,1,APALACHICOLA BAY AREA,3203,23
1986,1,REST OF FL EAST,17625,45
1986,1,REST OF FL WEST,98294,489
1986,1,SUWANNEE AREA,131262,707
1986,2,APALACHICOLA BAY AREA,156,2
1986,2,REST OF FL EAST,16071,81
1986,2,REST OF FL WEST,62116,421
1986,2,SUWANNEE AREA,139264,469
1986,3,REST OF FL EAST,25158,72
1986,3,REST OF FL WEST,90878,529
1986,3,SUWANNEE AREA,127626,561
1986,4,APALACHICOLA BAY AREA,83,1
1986,4,REST OF FL EAST,10388,50
1986,4,REST OF FL WEST,104560,619
1986,4,ST. AUGUSTINE AREA,1019,4
1986,4,SUWANNEE AREA,182465,537
1986,5,APALACHICOLA BAY AREA,48560,575
1986,5,REST OF FL EAST,6869,20
1986,5,REST OF FL WEST,37944,387
1986,5,SUWANNEE AREA,172927,370
1986,6,APALACHICOLA BAY AREA,46815,673
1986,6,REST OF FL EAST,1680,23
1986,6,REST OF FL WEST,7374,137
1986,6,SUWANNEE AREA,13,1
1986,7,APALACHICOLA BAY AREA,53366,707
1986,7,REST OF FL EAST,3542,22
1986,7,REST OF FL WEST,9827,174
1986,7,SUWANNEE AREA,252,3
1986,8,APALACHICOLA BAY AREA,26556,548
1986,8,REST OF FL EAST,1778,17
1986,8,REST OF FL WEST,3675,73
1986,9,APALACHICOLA BAY AREA,9261,236
1986,9,REST OF FL EAST,3583,54
1986,9,REST OF FL WEST,31433,508
1986,9,ST. AUGUSTINE AREA,1082,36
1986,9,SUWANNEE AREA,111174,1369
1986,10,APALACHICOLA BAY AREA,71906,1050
1986,10,REST OF FL EAST,9097,85
1986,10,REST OF FL WEST,22189,395
1986,10,ST. AUGUSTINE AREA,100,5
1986,10,SUWANNEE AREA,88981,1104
1986,11,APALACHICOLA BAY AREA,113471,1300
1986,11,REST OF FL EAST,6475,103
1986,11,REST OF FL WEST,21891,376
1986,11,ST. AUGUSTINE AREA,255,9
1986,11,SUWANNEE AREA,58003,713
1986,12,APALACHICOLA BAY AREA,111587,1338
1986,12,REST OF FL EAST,4394,76
1986,12,REST OF FL WEST,39151,532
1986,12,ST. AUGUSTINE AREA,113,3
1986,12,SUWANNEE AREA,65522,803
1987,1,APALACHICOLA BAY AREA,180448,1978
1987,1,REST OF FL EAST,4781,112
1987,1,REST OF FL WEST,51738,740
1987,1,ST. AUGUSTINE AREA,3451,48
1987,1,SUWANNEE AREA,56705,753
1987,2,APALACHICOLA BAY AREA,200847,2289
1987,2,REST OF FL EAST,5696,118
1987,2,REST OF FL WEST,40672,617
1987,2,ST. AUGUSTINE AREA,3261,53
1987,2,SUWANNEE AREA,47386,689
1987,3,APALACHICOLA BAY AREA,239624,2721
1987,3,REST OF FL EAST,8779,194
1987,3,REST OF FL WEST,39375,521
1987,3,ST. AUGUSTINE AREA,1939,38
1987,3,SUWANNEE AREA,38533,579
1987,4,APALACHICOLA BAY AREA,450117,4650
1987,4,REST OF FL EAST,6629,141
1987,4,REST OF FL WEST,58942,756
1987,4,ST. AUGUSTINE AREA,1042,17
1987,4,SUWANNEE AREA,48317,670
1987,5,APALACHICOLA BAY AREA,376135,4643
1987,5,REST OF FL EAST,2218,65
1987,5,REST OF FL WEST,45791,638
1987,5,ST. AUGUSTINE AREA,1174,23
1987,5,SUWANNEE AREA,39220,496
1987,6,APALACHICOLA BAY AREA,214535,3339
1987,6,REST OF FL EAST,4618,7
1987,6,REST OF FL WEST,15663,266
1987,6,ST. AUGUSTINE AREA,440,14
1987,7,APALACHICOLA BAY AREA,348121,4426
1987,7,REST OF FL EAST,5296,19
1987,7,REST OF FL WEST,22326,298
1987,8,APALACHICOLA BAY AREA,111931,2376
1987,8,REST OF FL EAST,6455,22
1987,8,REST OF FL WEST,4915,111
1987,8,SUWANNEE AREA,66,1
1987,9,APALACHICOLA BAY AREA,75566,1849
1987,9,REST OF FL EAST,3563,49
1987,9,REST OF FL WEST,16038,357
1987,9,ST. AUGUSTINE AREA,3524,55
1987,9,SUWANNEE AREA,79106,1235
1987,10,APALACHICOLA BAY AREA,237086,3687
1987,10,REST OF FL EAST,9926,80
1987,10,REST OF FL WEST,25585,504
1987,10,ST. AUGUSTINE AREA,4102,61
1987,10,SUWANNEE AREA,84986,1113
1987,11,APALACHICOLA BAY AREA,158183,2749
1987,11,REST OF FL EAST,6451,46
1987,11,REST OF FL WEST,21644,452
1987,11,ST. AUGUSTINE AREA,4928,77
1987,11,SUWANNEE AREA,41780,671
1987,12,APALACHICOLA BAY AREA,217613,3638
1987,12,REST OF FL EAST,14748,147
1987,12,REST OF FL WEST,32945,626
1987,12,ST. AUGUSTINE AREA,6372,94
1987,12,SUWANNEE AREA,60426,919
1988,1,APALACHICOLA BAY AREA,184013,3396
1988,1,REST OF FL EAST,17179,215
1988,1,REST OF FL WEST,36922,784
1988,1,ST. AUGUSTINE AREA,6589,87
1988,1,SUWANNEE AREA,61001,901
1988,2,APALACHICOLA BAY AREA,160301,3051
1988,2,REST OF FL EAST,14200,215
1988,2,REST OF FL WEST,25091,554
1988,2,ST. AUGUSTINE AREA,6078,83
1988,2,SUWANNEE AREA,54753,862
1988,3,APALACHICOLA BAY AREA,233929,4783
1988,3,REST OF FL EAST,4822,100
1988,3,REST OF FL WEST,24555,451
1988,3,ST. AUGUSTINE AREA,6202,90
1988,3,SUWANNEE AREA,47966,840
1988,4,APALACHICOLA BAY AREA,141066,3366
1988,4,REST OF FL EAST,5596,133
1988,4,REST OF FL WEST,37015,707
1988,4,ST. AUGUSTINE AREA,5165,79
1988,4,SUWANNEE AREA,45475,688
1988,5,APALACHICOLA BAY AREA,125918,3563
1988,5,REST OF FL EAST,4192,70
1988,5,REST OF FL WEST,31653,682
1988,5,ST. AUGUSTINE AREA,4738,70
1988,5,SUWANNEE AREA,35863,527
1988,6,APALACHICOLA BAY AREA,80402,2718
1988,6,REST OF FL EAST,6256,45
1988,6,REST OF FL WEST,5407,192
1988,6,ST. AUGUSTINE AREA,1272,29
1988,7,APALACHICOLA BAY AREA,142605,2861
1988,7,REST OF FL EAST,738,19
1988,7,REST OF FL WEST,7980,171
1988,7,ST. AUGUSTINE AREA,1324,29
1988,8,APALACHICOLA BAY AREA,45446,1423
1988,8,REST OF FL EAST,2422,42
1988,8,REST OF FL WEST,4773,126
1988,8,ST. AUGUSTINE AREA,1529,38
1988,8,SUWANNEE AREA,107,2
1988,9,APALACHICOLA BAY AREA,30663,831
1988,9,REST OF FL EAST,1181,32
1988,9,REST OF FL WEST,6721,129
1988,9,ST. AUGUSTINE AREA,7890,92
1988,9,SUWANNEE AREA,57880,949
1988,10,APALACHICOLA BAY AREA,56735,1663
1988,10,REST OF FL EAST,7035,130
1988,10,REST OF FL WEST,18558,424
1988,10,ST. AUGUSTINE AREA,9247,129
1988,10,SUWANNEE AREA,75692,1141
1988,11,APALACHICOLA BAY AREA,38515,1318
1988,11,REST OF FL EAST,4269,84
1988,11,REST OF FL WEST,17465,413
1988,11,ST. AUGUSTINE AREA,13342,163
1988,11,SUWANNEE AREA,54532,884
1988,12,APALACHICOLA BAY AREA,53597,1716
1988,12,REST OF FL EAST,10021,156
